icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005424879RN95C,208034815,1,2/07/2017 1:30,2/07/2017 1:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 2:00,2/07/2017 2:29,0.361,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 2:30,2/07/2017 2:59,0.364,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 3:00,2/07/2017 3:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 3:30,2/07/2017 3:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 4:00,2/07/2017 4:29,0.353,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 4:30,2/07/2017 4:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 5:00,2/07/2017 5:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 5:30,2/07/2017 5:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 6:00,2/07/2017 6:29,0.347,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 6:30,2/07/2017 6:59,0.35,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 7:00,2/07/2017 7:29,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 7:30,2/07/2017 7:59,0.351,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 8:00,2/07/2017 8:29,0.347,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 8:30,2/07/2017 8:59,0.346,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 9:00,2/07/2017 9:29,0.345,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 9:30,2/07/2017 9:59,0.35,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 10:00,2/07/2017 10:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 10:30,2/07/2017 10:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 11:00,2/07/2017 11:29,0.347,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 11:30,2/07/2017 11:59,0.347,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 12:00,2/07/2017 12:29,0.353,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 12:30,2/07/2017 12:59,0.353,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 13:00,2/07/2017 13:29,0.351,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 13:30,2/07/2017 13:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 14:00,2/07/2017 14:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 14:30,2/07/2017 14:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 15:00,2/07/2017 15:29,0.434,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 15:30,2/07/2017 15:59,0.423,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 16:00,2/07/2017 16:29,0.745,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 16:30,2/07/2017 16:59,0.382,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 17:00,2/07/2017 17:29,0.345,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 17:30,2/07/2017 17:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 18:00,2/07/2017 18:29,0.35,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 18:30,2/07/2017 18:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 19:00,2/07/2017 19:29,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 19:30,2/07/2017 19:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 20:00,2/07/2017 20:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 20:30,2/07/2017 20:59,0.355,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 21:00,2/07/2017 21:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 21:30,2/07/2017 21:59,0.359,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 22:00,2/07/2017 22:29,0.359,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 22:30,2/07/2017 22:59,0.36,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 23:00,2/07/2017 23:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 23:30,2/07/2017 23:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 0:00,3/07/2017 0:29,0.359,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 0:30,3/07/2017 0:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 1:00,3/07/2017 1:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 1:30,3/07/2017 1:59,0.362,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 2:00,3/07/2017 2:29,0.366,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 2:30,3/07/2017 2:59,0.36,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 3:00,3/07/2017 3:29,0.355,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 3:30,3/07/2017 3:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 4:00,3/07/2017 4:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 4:30,3/07/2017 4:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 5:00,3/07/2017 5:29,0.355,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 5:30,3/07/2017 5:59,0.348,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 6:00,3/07/2017 6:29,0.351,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 6:30,3/07/2017 6:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 7:00,3/07/2017 7:29,0.365,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 7:30,3/07/2017 7:59,0.478,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 8:00,3/07/2017 8:29,0.497,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 8:30,3/07/2017 8:59,0.558,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 9:00,3/07/2017 9:29,0.519,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 9:30,3/07/2017 9:59,0.512,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 10:00,3/07/2017 10:29,0.604,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 10:30,3/07/2017 10:59,0.476,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 11:00,3/07/2017 11:29,0.458,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 11:30,3/07/2017 11:59,0.442,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 12:00,3/07/2017 12:29,0.435,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 12:30,3/07/2017 12:59,0.431,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 13:00,3/07/2017 13:29,0.684,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 13:30,3/07/2017 13:59,0.514,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 14:00,3/07/2017 14:29,0.493,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 14:30,3/07/2017 14:59,0.441,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 15:00,3/07/2017 15:29,0.537,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 15:30,3/07/2017 15:59,0.461,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 16:00,3/07/2017 16:29,0.429,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 16:30,3/07/2017 16:59,0.368,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 17:00,3/07/2017 17:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 17:30,3/07/2017 17:59,0.374,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 18:00,3/07/2017 18:29,0.415,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 18:30,3/07/2017 18:59,0.353,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 19:00,3/07/2017 19:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 19:30,3/07/2017 19:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 20:00,3/07/2017 20:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 20:30,3/07/2017 20:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 21:00,3/07/2017 21:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 21:30,3/07/2017 21:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 22:00,3/07/2017 22:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 22:30,3/07/2017 22:59,0.356,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 23:00,3/07/2017 23:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,3/07/2017 23:30,3/07/2017 23:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 0:00,4/07/2017 0:29,0.365,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 0:30,4/07/2017 0:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 1:00,4/07/2017 1:29,0.362,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 1:30,4/07/2017 1:59,0.353,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 2:00,4/07/2017 2:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 2:30,4/07/2017 2:59,0.362,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 3:00,4/07/2017 3:29,0.361,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 3:30,4/07/2017 3:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 4:00,4/07/2017 4:29,0.35,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 4:30,4/07/2017 4:59,0.352,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 5:00,4/07/2017 5:29,0.353,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 5:30,4/07/2017 5:59,0.353,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 6:00,4/07/2017 6:29,0.353,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 6:30,4/07/2017 6:59,0.348,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 7:00,4/07/2017 7:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 7:30,4/07/2017 7:59,0.404,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 8:00,4/07/2017 8:29,0.418,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 8:30,4/07/2017 8:59,0.461,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 9:00,4/07/2017 9:29,0.436,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 9:30,4/07/2017 9:59,0.433,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 10:00,4/07/2017 10:29,0.605,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 10:30,4/07/2017 10:59,0.374,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 11:00,4/07/2017 11:29,0.51,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 11:30,4/07/2017 11:59,0.404,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 12:00,4/07/2017 12:29,0.392,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 12:30,4/07/2017 12:59,0.469,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 13:00,4/07/2017 13:29,0.701,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 13:30,4/07/2017 13:59,1.089,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 14:00,4/07/2017 14:29,0.495,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 14:30,4/07/2017 14:59,0.404,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 15:00,4/07/2017 15:29,0.377,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 15:30,4/07/2017 15:59,0.373,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 16:00,4/07/2017 16:29,0.458,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 16:30,4/07/2017 16:59,0.357,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 17:00,4/07/2017 17:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 17:30,4/07/2017 17:59,0.902,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 18:00,4/07/2017 18:29,1.509,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 18:30,4/07/2017 18:59,0.551,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 19:00,4/07/2017 19:29,0.351,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 19:30,4/07/2017 19:59,0.353,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 20:00,4/07/2017 20:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 20:30,4/07/2017 20:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 21:00,4/07/2017 21:29,0.362,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 21:30,4/07/2017 21:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 22:00,4/07/2017 22:29,0.359,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 22:30,4/07/2017 22:59,0.364,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 23:00,4/07/2017 23:29,0.367,kWh,estimated
0005424879RN95C,208034815,1,4/07/2017 23:30,4/07/2017 23:59,0.411,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 0:00,5/07/2017 0:29,0.398,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 0:30,5/07/2017 0:59,0.36,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 1:00,5/07/2017 1:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 1:30,5/07/2017 1:59,0.366,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 2:00,5/07/2017 2:29,0.364,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 2:30,5/07/2017 2:59,0.363,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 3:00,5/07/2017 3:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 3:30,5/07/2017 3:59,0.355,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 4:00,5/07/2017 4:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 4:30,5/07/2017 4:59,0.357,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 5:00,5/07/2017 5:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 5:30,5/07/2017 5:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 6:00,5/07/2017 6:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 6:30,5/07/2017 6:59,0.372,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 7:00,5/07/2017 7:29,0.356,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 7:30,5/07/2017 7:59,0.362,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 8:00,5/07/2017 8:29,0.521,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 8:30,5/07/2017 8:59,0.448,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 9:00,5/07/2017 9:29,0.62,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 9:30,5/07/2017 9:59,0.554,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 10:00,5/07/2017 10:29,0.254,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 10:30,5/07/2017 10:59,0.041,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 11:00,5/07/2017 11:29,0.89,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 11:30,5/07/2017 11:59,0.579,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 12:00,5/07/2017 12:29,0.634,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 12:30,5/07/2017 12:59,0.18,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 13:00,5/07/2017 13:29,0.292,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 13:30,5/07/2017 13:59,1.336,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 14:00,5/07/2017 14:29,1.082,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 14:30,5/07/2017 14:59,0.375,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 15:00,5/07/2017 15:29,0.376,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 15:30,5/07/2017 15:59,0.378,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 16:00,5/07/2017 16:29,0.517,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 16:30,5/07/2017 16:59,0.373,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 17:00,5/07/2017 17:29,0.361,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 17:30,5/07/2017 17:59,0.375,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 18:00,5/07/2017 18:29,0.458,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 18:30,5/07/2017 18:59,0.371,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 19:00,5/07/2017 19:29,0.422,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 19:30,5/07/2017 19:59,0.39,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 20:00,5/07/2017 20:29,0.373,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 20:30,5/07/2017 20:59,0.372,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 21:00,5/07/2017 21:29,0.363,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 21:30,5/07/2017 21:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 22:00,5/07/2017 22:29,0.361,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 22:30,5/07/2017 22:59,0.37,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 23:00,5/07/2017 23:29,0.368,kWh,estimated
0005424879RN95C,208034815,1,5/07/2017 23:30,5/07/2017 23:59,0.365,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 0:00,6/07/2017 0:29,0.364,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 0:30,6/07/2017 0:59,0.379,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 1:00,6/07/2017 1:29,0.373,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 1:30,6/07/2017 1:59,0.364,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 2:00,6/07/2017 2:29,0.365,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 2:30,6/07/2017 2:59,0.375,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 3:00,6/07/2017 3:29,0.379,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 3:30,6/07/2017 3:59,0.363,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 4:00,6/07/2017 4:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 4:30,6/07/2017 4:59,0.375,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 5:00,6/07/2017 5:29,0.371,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 5:30,6/07/2017 5:59,0.361,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 6:00,6/07/2017 6:29,0.36,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 6:30,6/07/2017 6:59,0.371,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 7:00,6/07/2017 7:29,0.372,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 7:30,6/07/2017 7:59,0.457,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 8:00,6/07/2017 8:29,0.507,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 8:30,6/07/2017 8:59,0.506,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 9:00,6/07/2017 9:29,0.486,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 9:30,6/07/2017 9:59,0.473,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 10:00,6/07/2017 10:29,0.657,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 10:30,6/07/2017 10:59,0.481,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 11:00,6/07/2017 11:29,0.486,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 11:30,6/07/2017 11:59,0.469,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 12:00,6/07/2017 12:29,0.473,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 12:30,6/07/2017 12:59,0.466,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 13:00,6/07/2017 13:29,0.69,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 13:30,6/07/2017 13:59,0.456,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 14:00,6/07/2017 14:29,0.446,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 14:30,6/07/2017 14:59,0.369,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 15:00,6/07/2017 15:29,0.382,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 15:30,6/07/2017 15:59,0.366,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 16:00,6/07/2017 16:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 16:30,6/07/2017 16:59,0.359,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 17:00,6/07/2017 17:29,0.365,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 17:30,6/07/2017 17:59,0.537,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 18:00,6/07/2017 18:29,1.32,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 18:30,6/07/2017 18:59,2.44,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 19:00,6/07/2017 19:29,2.357,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 19:30,6/07/2017 19:59,1.223,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 20:00,6/07/2017 20:29,0.369,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 20:30,6/07/2017 20:59,0.369,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 21:00,6/07/2017 21:29,0.368,kWh,estimated
0005424879RN95C,208034815,1,6/07/2017 21:30,6/07/2017 21:59,0.387,kWh,estimated
